text,label
Scientists confirm internet causes immortality,0
Research shows benefits of internet in daily life,1
Government bans medicine permanently,0
Research shows benefits of medicine in daily life,1
economy will destroy the world tomorrow,0
Scientists discover economy improvement,1
Breaking: climate cures all diseases instantly,0
Scientists discover climate improvement,1
internet will destroy the world tomorrow,0
New internet technology launched,1
Breaking: economy cures all diseases instantly,0
Research shows benefits of economy in daily life,1
Breaking: space cures all diseases instantly,0
space industry shows steady growth,1
Government bans mobile phones permanently,0
Scientists discover mobile phones improvement,1
Breaking: health cures all diseases instantly,0
health industry shows steady growth,1
coffee gives superpowers instantly,0
coffee sector sees major development this year,1
Experts say technology makes humans invisible,0
New technology technology launched,1
coffee gives superpowers instantly,0
Government announces new coffee policy,1
Experts say medicine makes humans invisible,0
medicine industry shows steady growth,1
health will destroy the world tomorrow,0
Research shows benefits of health in daily life,1
Experts say health makes humans invisible,0
Government announces new health policy,1
Government bans education permanently,0
Research shows benefits of education in daily life,1
medicine gives superpowers instantly,0
New medicine technology launched,1
Government bans technology permanently,0
technology sector sees major development this year,1
Scientists confirm internet causes immortality,0
Government announces new internet policy,1
Government bans health permanently,0
health industry shows steady growth,1
Scientists confirm medicine causes immortality,0
medicine sector sees major development this year,1
technology gives superpowers instantly,0
Government announces new technology policy,1
Breaking: medicine cures all diseases instantly,0
medicine sector sees major development this year,1
Scientists confirm technology causes immortality,0
technology industry shows steady growth,1
Experts say internet makes humans invisible,0
Scientists discover internet improvement,1
health gives superpowers instantly,0
health industry shows steady growth,1
Experts say AI makes humans invisible,0
AI industry shows steady growth,1
Scientists confirm internet causes immortality,0
Research shows benefits of internet in daily life,1
Breaking: coffee cures all diseases instantly,0
Government announces new coffee policy,1
Scientists confirm climate causes immortality,0
climate industry shows steady growth,1
Experts say AI makes humans invisible,0
Scientists discover AI improvement,1
Scientists confirm AI causes immortality,0
Government announces new AI policy,1
internet will destroy the world tomorrow,0
Research shows benefits of internet in daily life,1
Scientists confirm AI causes immortality,0
Government announces new AI policy,1
Scientists confirm climate causes immortality,0
climate sector sees major development this year,1
Scientists confirm medicine causes immortality,0
Government announces new medicine policy,1
medicine will destroy the world tomorrow,0
Research shows benefits of medicine in daily life,1
Government bans medicine permanently,0
Research shows benefits of medicine in daily life,1
Scientists confirm economy causes immortality,0
Scientists discover economy improvement,1
technology will destroy the world tomorrow,0
technology sector sees major development this year,1
Experts say mobile phones makes humans invisible,0
Research shows benefits of mobile phones in daily life,1
coffee gives superpowers instantly,0
Government announces new coffee policy,1
Scientists confirm technology causes immortality,0
Government announces new technology policy,1
Government bans space permanently,0
New space technology launched,1
coffee will destroy the world tomorrow,0
