text,label
technology discovered to control human minds,0
New technology technology launched,1
Breaking: AI cures all diseases instantly,0
Research shows benefits of AI in daily life,1
Government bans medicine permanently,0
Research shows benefits of medicine in daily life,1
coffee gives superpowers instantly,0
New report highlights progress in coffee,1
Government bans economy permanently,0
economy industry shows steady growth,1
Government bans space permanently,0
Government announces new space policy,1
Experts say AI makes humans invisible,0
Scientists discover AI improvement,1
Scientists confirm coffee causes immortality,0
coffee innovation improves global economy,1
climate gives superpowers instantly,0
Research shows benefits of climate in daily life,1
Government bans internet permanently,0
New internet technology launched,1
coffee discovered to control human minds,0
Research shows benefits of coffee in daily life,1
Breaking: education cures all diseases instantly,0
Research shows benefits of education in daily life,1
economy gives superpowers instantly,0
New economy technology launched,1
technology allows humans to live forever,0
New technology technology launched,1
Scientists confirm education causes immortality,0
New report highlights progress in education,1
Breaking: climate cures all diseases instantly,0
climate innovation improves global economy,1
internet will destroy the world tomorrow,0
Government announces new internet policy,1
transport allows humans to live forever,0
transport innovation improves global economy,1
Scientists confirm AI causes immortality,0
Government announces new AI policy,1
internet allows humans to live forever,0
Government announces new internet policy,1
transport allows humans to live forever,0
transport industry shows steady growth,1
economy discovered to control human minds,0
New report highlights progress in economy,1
health discovered to control human minds,0
health industry shows steady growth,1
Breaking: medicine cures all diseases instantly,0
medicine sector sees major development this year,1
coffee will destroy the world tomorrow,0
coffee industry shows steady growth,1
Scientists confirm finance causes immortality,0
Research shows benefits of finance in daily life,1
Breaking: transport cures all diseases instantly,0
Government announces new transport policy,1
Breaking: energy cures all diseases instantly,0
Scientists discover energy improvement,1
Government bans mobile phones permanently,0
Scientists discover mobile phones improvement,1
health allows humans to live forever,0
Government announces new health policy,1
health allows humans to live forever,0
New health technology launched,1
Experts say finance makes humans invisible,0
Research shows benefits of finance in daily life,1
coffee gives superpowers instantly,0
coffee innovation improves global economy,1
Scientists confirm AI causes immortality,0
New AI technology launched,1
Experts say economy makes humans invisible,0
economy sector sees major development this year,1
medicine discovered to control human minds,0
Research shows benefits of medicine in daily life,1
Scientists confirm climate causes immortality,0
Government announces new climate policy,1
health discovered to control human minds,0
Research shows benefits of health in daily life,1
medicine gives superpowers instantly,0
medicine industry shows steady growth,1
climate gives superpowers instantly,0
climate sector sees major development this year,1
Breaking: climate cures all diseases instantly,0
climate industry shows steady growth,1
Government bans internet permanently,0
Research shows benefits of internet in daily life,1
Government bans agriculture permanently,0
Scientists discover agriculture improvement,1
Breaking: economy cures all diseases instantly,0
Government announces new economy policy,1
Breaking: mobile phones cures all diseases instantly,0
New mobile phones technology launched,1
Government bans education permanently,0
education innovation improves global economy,1
Experts say economy makes humans invisible,0
New report highlights progress in economy,1
Scientists confirm medicine causes immortality,0
medicine industry shows steady growth,1
internet will destroy the world tomorrow,0
New report highlights progress in internet,1
